interval,split_count,epochs_count,batch,lstm1_units,lstm2_units,val_loss
65,10,1,32,131,150,0.5937128037214279
63,5,7,64,86,40,0.6894311308860779
78,5,1,64,97,142,0.6311236441135406
66,4,7,32,36,126,0.5838637799024582
65,6,8,64,61,71,0.586586187283198
73,9,2,32,42,13,0.6082214448187087
73,9,9,16,63,94,0.72307574417856
54,2,4,32,128,113,0.6032999455928802
70,2,1,64,125,124,0.6091753840446472
61,4,5,16,10,139,0.5923720002174377
73,5,7,64,117,41,0.646256685256958
71,9,3,32,38,5,0.6200898786385854
77,9,1,16,84,66,0.6000388827588823
72,4,10,32,16,33,0.6334550827741623
57,9,4,16,26,131,0.6055563257800208
64,9,7,64,64,77,0.6471124589443207
48,6,6,16,7,150,0.6257189909617106
64,7,1,16,86,76,0.5996917571340289
61,7,3,16,94,97,0.6336696829114642
64,4,2,16,47,61,0.6907636821269989
53,7,5,16,105,150,0.5961391159466335
45,7,5,16,100,150,0.6090703095708575
52,4,6,16,147,129,0.5947032272815704
58,3,8,16,146,105,0.5961065093676249
51,4,6,64,144,130,0.6230993270874023
59,5,7,32,62,118,0.628584623336792
67,3,4,16,41,131,0.5928601026535034
69,3,4,16,32,135,0.5864918828010559
67,3,4,16,32,138,0.5995353062947592
67,3,3,16,48,109,0.594844122727712
78,2,5,16,6,139,0.6015803515911102
66,5,4,16,21,90,0.635520589351654
69,3,2,16,36,138,0.6199261546134949
80,3,5,16,48,121,0.5822702248891195
75,6,5,64,54,121,0.6120684643586477
80,2,8,32,65,93,0.5711154639720917
79,2,9,32,68,88,0.614027589559555
77,2,8,32,14,106,0.5916617214679718
80,2,8,32,72,101,0.6068623960018158
75,2,10,32,56,112,0.577743262052536
75,2,10,32,53,114,0.6194113790988922
75,3,9,32,57,84,0.5978925029436747
80,10,10,32,77,115,0.6344482690095902
75,2,9,32,26,123,0.600811094045639
70,3,8,32,43,98,0.5603810946146647
72,2,7,32,45,95,0.5933607816696167
77,4,8,32,60,62,0.6164862662553787
69,3,10,32,31,99,0.6530303160349528
73,3,9,32,72,110,0.5924631357192993
77,5,6,32,52,72,0.604984974861145
71,2,7,64,83,88,0.5728084146976471
74,2,7,64,84,51,0.5962757766246796
71,2,8,64,92,83,0.6209544539451599
78,4,7,64,78,12,0.5863002836704254
80,8,9,64,111,91,0.6081721559166908
73,3,8,64,66,83,0.5987260142962137
71,4,10,32,40,73,0.6054816991090775
78,4,7,64,84,12,0.6064823865890503
78,2,6,64,74,105,0.5916812419891357
76,3,7,64,89,33,0.6598009864489237
80,2,7,64,80,11,0.6026272475719452
76,4,8,64,68,102,0.6419758349657059
79,3,6,32,100,53,0.6092190742492676
74,5,6,64,59,96,0.6087544918060303
72,2,5,32,44,79,0.6010740995407104
56,3,7,32,130,33,0.571262369553248
62,3,8,32,125,26,0.5968240102132162
56,4,7,32,52,21,0.5932413935661316
55,3,7,32,137,44,0.6128702958424886
50,2,6,32,115,10,0.58853879570961
59,3,5,64,64,23,0.6707039872805277
79,2,7,32,130,126,0.5982512831687927
76,3,8,32,47,5,0.617372969786326
70,4,9,16,99,119,0.6125026345252991
46,2,8,64,37,67,0.6183384358882904
78,3,6,32,79,111,0.5884044567743937
65,4,9,16,56,92,0.5922760292887688
68,3,4,16,32,145,0.6503503322601318
70,2,4,16,23,143,0.8068010807037354
68,3,5,16,48,126,0.6111221512158712
74,2,4,16,17,133,0.6055963635444641
77,3,3,32,30,116,0.6051376859347025
66,2,3,16,61,87,0.6111103296279907
63,6,7,32,42,107,0.5990223586559296
79,4,8,64,69,17,0.6363406032323837
73,3,4,16,36,134,0.5820937951405843
73,3,5,32,37,103,0.6379366914431254
72,2,4,16,27,131,0.6294845342636108
69,3,3,16,49,33,0.6133679548899332
71,3,5,16,35,135,0.5800283551216125
74,2,5,16,40,135,0.5763005614280701
71,2,5,16,35,144,0.5955318808555603
73,2,5,16,42,135,0.62277552485466
75,2,4,16,39,122,0.5850230157375336
70,10,5,16,51,127,0.6885444104671479
74,3,6,16,56,136,0.5871657530466715
72,8,5,16,20,99,0.6003165952861309
76,2,4,16,39,121,0.6130920350551605
74,2,3,16,44,122,0.5901781916618347
75,2,10,16,35,131,0.6131777167320251
71,2,4,16,29,141,0.6032868027687073
75,3,4,16,150,113,0.5908035238583883
73,3,2,32,45,147,0.6191296180089315
53,2,5,16,25,128,0.5900721549987793
68,2,6,32,40,118,0.6044791340827942
77,2,4,16,54,140,0.6066314280033112
59,3,6,32,106,109,0.6056291460990906
79,4,7,64,75,93,0.6272392719984055
80,3,7,64,33,80,0.6155965924263
76,4,5,64,64,124,0.5779679045081139
76,3,5,32,63,137,0.5873935421307882
71,2,5,16,50,124,0.6055647134780884
72,5,5,64,57,87,0.6034738779067993
74,3,6,32,59,99,0.5988916953404745
76,2,4,16,46,133,0.5956831574440002
75,3,9,32,66,118,0.5982696016629537
78,4,8,64,139,124,0.6157544851303101
77,5,6,64,82,36,0.6186979651451111
78,4,5,64,89,112,0.5804480239748955
79,4,5,64,88,114,0.6289105117321014
78,2,5,64,95,111,0.6115292608737946
80,3,4,64,70,129,0.5861397186915079
73,4,5,16,121,104,0.5891738906502724
49,2,9,32,42,95,0.5802302956581116
49,3,10,32,43,94,0.6124327381451925
57,2,9,32,65,90,0.5792405307292938
52,2,9,32,61,88,0.5790065228939056
51,2,9,32,65,96,0.6044517159461975
48,2,9,32,73,90,0.7175539135932922
54,2,10,32,70,76,0.6133305132389069
56,2,8,32,61,84,0.6161966323852539
58,2,9,32,67,81,0.6237581670284271
47,2,9,32,53,88,0.6418512463569641
60,5,10,32,59,100,0.5920521378517151
52,2,9,32,75,97,0.592415988445282
57,2,9,32,63,71,0.5847512185573578
51,3,8,32,34,86,0.5985015034675598
54,3,10,32,51,107,0.582229087750117
54,3,10,32,56,108,0.5731101036071777
54,2,10,32,54,90,0.5956985354423523
55,3,10,32,61,102,0.6090019543965658
53,3,9,32,77,96,0.55778240164121
53,2,9,32,76,94,0.595014899969101
52,2,9,32,84,92,0.6023522615432739
56,4,8,32,92,104,0.5873963981866837
49,2,9,32,80,98,0.6014357805252075
55,3,10,32,71,107,0.5776073435942332
57,3,10,32,71,106,0.5918702880541483
55,3,10,32,68,102,0.5980528394381205
53,3,10,32,78,109,0.6114503939946493
55,3,9,32,72,116,0.5619932115077972
52,3,9,32,64,117,0.5999613602956136
55,3,9,32,72,96,0.5904690623283386
55,2,10,32,58,89,0.6118832230567932
57,3,9,32,66,83,0.6037628451983134
54,7,8,32,56,76,0.6541083625384739
56,2,10,32,73,108,0.6047540605068207
50,3,9,64,82,112,0.5949022968610128
53,4,9,32,77,115,0.6159840673208237
45,3,10,32,69,112,0.6211617390314738
58,2,8,64,62,100,0.620054692029953
52,3,9,32,47,92,0.6110681096712748
54,2,10,32,66,85,0.5915237665176392
